id,protocol,number_of_qubits,interception_rate,noise,confidence,time_μs,is_considered_secure,key_length,eve_knowledge,measured_qber,final_key_qber
BB84_10_0.001_0.01_0.999999999-3,BB84,10,0.001,0.01,0.999999999,77,true,3,0,0,0
BB84_10_0.001_0.01_0.999999999-4,BB84,10,0.001,0.01,0.999999999,13,true,3,0,0,0
BB84_10_0.01_0_0.9999999999-0,BB84,10,0.01,0,0.9999999999,127,true,2,0,0,0
BB84_10_0.01_0_0.9999999999-1,BB84,10,0.01,0,0.9999999999,13,true,4,0,0,0
BB84_10_0.01_0_0.9999999999-2,BB84,10,0.01,0,0.9999999999,12,true,4,0,0,0
BB84_10_0.01_0_0.9999999999-3,BB84,10,0.01,0,0.9999999999,16,true,3,0,0,0
BB84_10_0.01_0_0.9999999999-4,BB84,10,0.01,0,0.9999999999,12,true,4,0,0,0
BB84_10_0.01_0_0.999999999-0,BB84,10,0.01,0,0.999999999,16,true,3,0,0,0
BB84_10_0.01_0_0.999999999-1,BB84,10,0.01,0,0.999999999,12,true,4,0,0,0
BB84_10_0.01_0_0.999999999-2,BB84,10,0.01,0,0.999999999,16,true,2,0,0,0
BB84_10_0.01_0_0.999999999-3,BB84,10,0.01,0,0.999999999,12,true,2,0,0,0
BB84_10_0.01_0_0.999999999-4,BB84,10,0.01,0,0.999999999,11,true,3,0,0,0
BB84_10_0.01_0.001_0.9999999999-0,BB84,10,0.01,0.001,0.9999999999,16,true,2,0,0,0
BB84_10_0.01_0.001_0.9999999999-1,BB84,10,0.01,0.001,0.9999999999,40,true,3,0,0,0
BB84_10_0.01_0.001_0.9999999999-2,BB84,10,0.01,0.001,0.9999999999,19,true,4,0,0,0
BB84_10_0.01_0.001_0.9999999999-3,BB84,10,0.01,0.001,0.9999999999,13,true,4,0,0,0
BB84_10_0.01_0.001_0.9999999999-4,BB84,10,0.01,0.001,0.9999999999,20,true,4,0,0,0.25
BB84_10_0.01_0.001_0.999999999-0,BB84,10,0.01,0.001,0.999999999,14,true,3,0,0,0
BB84_10_0.01_0.001_0.999999999-1,BB84,10,0.01,0.001,0.999999999,14,true,3,0,0,0
BB84_10_0.01_0.001_0.999999999-2,BB84,10,0.01,0.001,0.999999999,19,true,3,0,0,0
BB84_10_0.01_0.001_0.999999999-3,BB84,10,0.01,0.001,0.999999999,14,true,3,0,0,0
BB84_10_0.01_0.001_0.999999999-4,BB84,10,0.01,0.001,0.999999999,19,true,3,0,0,0
BB84_10_0.01_0.01_0.9999999999-0,BB84,10,0.01,0.01,0.9999999999,14,true,2,0,0,0
BB84_10_0.01_0.01_0.9999999999-1,BB84,10,0.01,0.01,0.9999999999,19,true,2,0,0,0
BB84_10_0.01_0.01_0.9999999999-2,BB84,10,0.01,0.01,0.9999999999,14,true,3,0,0,0
BB84_10_0.01_0.01_0.9999999999-3,BB84,10,0.01,0.01,0.9999999999,14,true,3,0,0,0
BB84_10_0.01_0.01_0.9999999999-4,BB84,10,0.01,0.01,0.9999999999,19,true,4,0,0,0
BB84_10_0.01_0.01_0.999999999-0,BB84,10,0.01,0.01,0.999999999,14,true,3,0,0,0
BB84_10_0.01_0.01_0.999999999-1,BB84,10,0.01,0.01,0.999999999,18,true,2,0,0,0
BB84_10_0.01_0.01_0.999999999-2,BB84,10,0.01,0.01,0.999999999,12,true,2,0,0,0
BB84_10_0.01_0.01_0.999999999-3,BB84,10,0.01,0.01,0.999999999,12,true,2,0,0,0
BB84_10_0.01_0.01_0.999999999-4,BB84,10,0.01,0.01,0.999999999,16,true,2,0,0,0
BB84_10_0.1_0_0.9999999999-0,BB84,10,0.1,0,0.9999999999,12,true,2,0,0,0
BB84_10_0.1_0_0.9999999999-1,BB84,10,0.1,0,0.9999999999,17,true,2,0,0,0
BB84_10_0.1_0_0.9999999999-2,BB84,10,0.1,0,0.9999999999,12,true,2,0,0,0
BB84_10_0.1_0_0.9999999999-3,BB84,10,0.1,0,0.9999999999,16,true,2,0,0,0
BB84_10_0.1_0_0.9999999999-4,BB84,10,0.1,0,0.9999999999,12,true,2,0,0,0
BB84_10_0.1_0_0.999999999-0,BB84,10,0.1,0,0.999999999,17,true,2,0,0,0
BB84_10_0.1_0_0.999999999-1,BB84,10,0.1,0,0.999999999,13,true,2,0.5,0,0
BB84_10_0.1_0_0.999999999-2,BB84,10,0.1,0,0.999999999,17,true,4,0.25,0,0.25
BB84_10_0.1_0_0.999999999-3,BB84,10,0.1,0,0.999999999,13,true,3,0.3333333333333333,0,0
BB84_10_0.1_0_0.999999999-4,BB84,10,0.1,0,0.999999999,17,true,3,0.3333333333333333,0,0
BB84_10_0.1_0.001_0.9999999999-0,BB84,10,0.1,0.001,0.9999999999,12,true,2,0,0,0
BB84_10_0.1_0.001_0.9999999999-1,BB84,10,0.1,0.001,0.9999999999,16,true,4,0,0,0
BB84_10_0.1_0.001_0.9999999999-2,BB84,10,0.1,0.001,0.9999999999,13,true,3,0.3333333333333333,0,0
BB84_10_0.1_0.001_0.9999999999-3,BB84,10,0.1,0.001,0.9999999999,16,true,2,0,0,0
BB84_10_0.1_0.001_0.9999999999-4,BB84,10,0.1,0.001,0.9999999999,12,true,3,0,0,0
BB84_10_0.1_0.001_0.999999999-0,BB84,10,0.1,0.001,0.999999999,33,true,4,0,0,0
BB84_10_0.1_0.001_0.999999999-1,BB84,10,0.1,0.001,0.999999999,14,true,4,0,0,0
BB84_10_0.1_0.001_0.999999999-2,BB84,10,0.1,0.001,0.999999999,13,true,3,0,0,0.3333333333333333
BB84_10_0.1_0.001_0.999999999-3,BB84,10,0.1,0.001,0.999999999,16,true,4,0,0,0
BB84_10_0.1_0.001_0.999999999-4,BB84,10,0.1,0.001,0.999999999,12,true,2,0,0,0
BB84_10_0.1_0.01_0.9999999999-0,BB84,10,0.1,0.01,0.9999999999,17,true,3,0.3333333333333333,0,0
BB84_10_0.1_0.01_0.9999999999-1,BB84,10,0.1,0.01,0.9999999999,13,true,3,0,0,0
BB84_10_0.1_0.01_0.9999999999-2,BB84,10,0.1,0.01,0.9999999999,16,true,3,0,0,0
BB84_10_0.1_0.01_0.9999999999-3,BB84,10,0.1,0.01,0.9999999999,13,true,3,0,0,0
BB84_10_0.1_0.01_0.9999999999-4,BB84,10,0.1,0.01,0.9999999999,17,true,3,0.3333333333333333,0,0.3333333333333333
BB84_10_0.1_0.01_0.999999999-0,BB84,10,0.1,0.01,0.999999999,12,true,3,0,0,0
BB84_10_0.1_0.01_0.999999999-1,BB84,10,0.1,0.01,0.999999999,17,true,3,0.3333333333333333,0,0
BB84_10_0.1_0.01_0.999999999-2,BB84,10,0.1,0.01,0.999999999,12,true,3,0.3333333333333333,0,0
BB84_10_0.1_0.01_0.999999999-3,BB84,10,0.1,0.01,0.999999999,17,true,2,0,0,0.5
BB84_10_0.1_0.01_0.999999999-4,BB84,10,0.1,0.01,0.999999999,12,true,3,0,0,0
BB84_100_0.001_0_0.9999999999-0,BB84,100,0.001,0,0.9999999999,128,true,21,0,0,0
BB84_100_0.001_0_0.9999999999-1,BB84,100,0.001,0,0.9999999999,129,true,25,0,0,0
BB84_100_0.001_0_0.9999999999-2,BB84,100,0.001,0,0.9999999999,211,true,23,0,0,0
BB84_100_0.001_0_0.9999999999-3,BB84,100,0.001,0,0.9999999999,129,true,25,0,0,0
BB84_100_0.001_0_0.9999999999-4,BB84,100,0.001,0,0.9999999999,128,true,25,0,0,0
BB84_100_0.001_0_0.999999999-0,BB84,100,0.001,0,0.999999999,129,true,25,0,0,0
BB84_100_0.001_0_0.999999999-1,BB84,100,0.001,0,0.999999999,128,true,25,0,0,0
BB84_100_0.001_0_0.999999999-2,BB84,100,0.001,0,0.999999999,134,true,29,0,0,0
BB84_100_0.001_0_0.999999999-3,BB84,100,0.001,0,0.999999999,133,true,27,0,0,0
BB84_100_0.001_0_0.999999999-4,BB84,100,0.001,0,0.999999999,128,true,23,0,0,0
BB84_100_0.001_0.001_0.9999999999-0,BB84,100,0.001,0.001,0.9999999999,174,true,28,0,0,0
BB84_100_0.001_0.001_0.9999999999-1,BB84,100,0.001,0.001,0.9999999999,399,true,26,0,0,0
BB84_100_0.001_0.001_0.9999999999-2,BB84,100,0.001,0.001,0.9999999999,147,true,30,0,0,0
BB84_100_0.001_0.001_0.9999999999-3,BB84,100,0.001,0.001,0.9999999999,182,true,25,0,0,0
BB84_100_0.001_0.001_0.9999999999-4,BB84,100,0.001,0.001,0.9999999999,130,true,25,0,0,0
BB84_100_0.001_0.001_0.999999999-0,BB84,100,0.001,0.001,0.999999999,129,true,26,0,0,0
BB84_100_0.001_0.001_0.999999999-1,BB84,100,0.001,0.001,0.999999999,133,true,26,0,0,0
BB84_100_0.001_0.001_0.999999999-2,BB84,100,0.001,0.001,0.999999999,129,true,26,0,0,0
BB84_100_0.001_0.001_0.999999999-3,BB84,100,0.001,0.001,0.999999999,129,true,26,0,0,0
BB84_100_0.001_0.001_0.999999999-4,BB84,100,0.001,0.001,0.999999999,130,true,24,0,0,0
BB84_100_0.001_0.01_0.9999999999-0,BB84,100,0.001,0.01,0.9999999999,132,true,25,0,0,0
BB84_100_0.001_0.01_0.9999999999-1,BB84,100,0.001,0.01,0.9999999999,1842,true,27,0,0,0
BB84_100_0.001_0.01_0.9999999999-2,BB84,100,0.001,0.01,0.9999999999,128,true,23,0,0.043478260869565216,0
BB84_100_0.001_0.01_0.9999999999-3,BB84,100,0.001,0.01,0.9999999999,129,true,27,0,0,0
BB84_100_0.001_0.01_0.9999999999-4,BB84,100,0.001,0.01,0.9999999999,129,true,27,0,0,0
BB84_100_0.001_0.01_0.999999999-0,BB84,100,0.001,0.01,0.999999999,132,true,21,0,0,0
BB84_100_0.001_0.01_0.999999999-1,BB84,100,0.001,0.01,0.999999999,132,true,29,0,0.034482758620689655,0
BB84_100_0.001_0.01_0.999999999-2,BB84,100,0.001,0.01,0.999999999,128,true,27,0,0,0
BB84_100_0.001_0.01_0.999999999-3,BB84,100,0.001,0.01,0.999999999,130,true,27,0,0.037037037037037035,0
BB84_100_0.001_0.01_0.999999999-4,BB84,100,0.001,0.01,0.999999999,128,true,25,0,0,0
BB84_100_0.01_0_0.9999999999-0,BB84,100,0.01,0,0.9999999999,134,true,25,0,0,0
BB84_100_0.01_0_0.9999999999-1,BB84,100,0.01,0,0.9999999999,129,true,26,0,0,0
BB84_100_0.01_0_0.9999999999-2,BB84,100,0.01,0,0.9999999999,128,true,22,0,0,0.045454545454545456
BB84_100_0.01_0_0.9999999999-3,BB84,100,0.01,0,0.9999999999,128,true,27,0,0,0
BB84_100_0.01_0_0.9999999999-4,BB84,100,0.01,0,0.9999999999,148,true,24,0,0,0.041666666666666664
BB84_100_0.01_0_0.999999999-0,BB84,100,0.01,0,0.999999999,129,true,21,0,0,0
BB84_100_0.01_0_0.999999999-1,BB84,100,0.01,0,0.999999999,130,true,25,0,0,0
BB84_100_0.01_0_0.999999999-2,BB84,100,0.01,0,0.999999999,129,true,26,0,0,0
BB84_100_0.01_0_0.999999999-3,BB84,100,0.01,0,0.999999999,135,true,27,0,0,0
BB84_100_0.01_0_0.999999999-4,BB84,100,0.01,0,0.999999999,130,true,24,0,0,0
BB84_100_0.01_0.001_0.9999999999-0,BB84,100,0.01,0.001,0.9999999999,129,true,28,0,0,0
BB84_100_0.01_0.001_0.9999999999-1,BB84,100,0.01,0.001,0.9999999999,135,true,25,0,0.041666666666666664,0
BB84_100_0.01_0.001_0.9999999999-2,BB84,100,0.01,0.001,0.9999999999,129,true,26,0,0,0
BB84_100_0.01_0.001_0.9999999999-3,BB84,100,0.01,0.001,0.9999999999,129,true,26,0,0,0
BB84_100_0.01_0.001_0.9999999999-4,BB84,100,0.01,0.001,0.9999999999,129,true,23,0,0,0
BB84_100_0.01_0.001_0.999999999-0,BB84,100,0.01,0.001,0.999999999,128,true,22,0,0,0
BB84_100_0.01_0.001_0.999999999-1,BB84,100,0.01,0.001,0.999999999,134,true,27,0.037037037037037035,0,0
BB84_100_0.01_0.001_0.999999999-2,BB84,100,0.01,0.001,0.999999999,128,true,24,0,0,0
BB84_100_0.01_0.001_0.999999999-3,BB84,100,0.01,0.001,0.999999999,127,true,21,0,0,0
BB84_100_0.01_0.001_0.999999999-4,BB84,100,0.01,0.001,0.999999999,144,true,26,0,0,0
BB84_100_0.01_0.01_0.9999999999-0,BB84,100,0.01,0.01,0.9999999999,135,true,27,0,0.038461538461538464,0
BB84_100_0.01_0.01_0.9999999999-1,BB84,100,0.01,0.01,0.9999999999,282,true,26,0,0,0
BB84_100_0.01_0.01_0.9999999999-2,BB84,100,0.01,0.01,0.9999999999,219,true,27,0,0.037037037037037035,0.07407407407407407
BB84_100_0.01_0.01_0.9999999999-3,BB84,100,0.01,0.01,0.9999999999,221,true,27,0.037037037037037035,0,0
BB84_100_0.01_0.01_0.9999999999-4,BB84,100,0.01,0.01,0.9999999999,365,true,22,0,0,0
BB84_100_0.01_0.01_0.999999999-0,BB84,100,0.01,0.01,0.999999999,132,true,28,0.03571428571428571,0.03571428571428571,0
BB84_100_0.01_0.01_0.999999999-1,BB84,100,0.01,0.01,0.999999999,130,true,27,0,0.038461538461538464,0
BB84_100_0.01_0.01_0.999999999-2,BB84,100,0.01,0.01,0.999999999,248,true,21,0,0.05,0
BB84_100_0.01_0.01_0.999999999-3,BB84,100,0.01,0.01,0.999999999,384,true,27,0,0,0
BB84_100_0.01_0.01_0.999999999-4,BB84,100,0.01,0.01,0.999999999,160,true,24,0.041666666666666664,0,0
BB84_100_0.1_0_0.9999999999-0,BB84,100,0.1,0,0.9999999999,135,false,None,0,0.04,None
BB84_100_0.1_0_0.9999999999-1,BB84,100,0.1,0,0.9999999999,131,true,24,0.041666666666666664,0,0
BB84_100_0.1_0_0.9999999999-2,BB84,100,0.1,0,0.9999999999,142,true,24,0.125,0,0
BB84_100_0.1_0_0.9999999999-3,BB84,100,0.1,0,0.9999999999,149,false,None,0,0.041666666666666664,None
BB84_100_0.1_0_0.9999999999-4,BB84,100,0.1,0,0.9999999999,138,false,None,0,0.045454545454545456,None
BB84_100_0.1_0_0.999999999-0,BB84,100,0.1,0,0.999999999,133,true,24,0.041666666666666664,0,0.041666666666666664
BB84_100_0.1_0_0.999999999-1,BB84,100,0.1,0,0.999999999,137,true,21,0.047619047619047616,0,0
BB84_100_0.1_0_0.999999999-2,BB84,100,0.1,0,0.999999999,138,false,None,0,0.07142857142857142,None
BB84_100_0.1_0_0.999999999-3,BB84,100,0.1,0,0.999999999,135,false,None,0,0.1,None
BB84_100_0.1_0_0.999999999-4,BB84,100,0.1,0,0.999999999,131,false,None,0,0.043478260869565216,None
BB84_100_0.1_0.001_0.9999999999-0,BB84,100,0.1,0.001,0.9999999999,137,true,29,0.034482758620689655,0.034482758620689655,0.034482758620689655
BB84_100_0.1_0.001_0.9999999999-1,BB84,100,0.1,0.001,0.9999999999,138,false,None,0,0.045454545454545456,None
BB84_100_0.1_0.001_0.9999999999-2,BB84,100,0.1,0.001,0.9999999999,130,false,None,0,0.047619047619047616,None
BB84_100_0.1_0.001_0.9999999999-3,BB84,100,0.1,0.001,0.9999999999,505,false,None,0,0.047619047619047616,None
BB84_100_0.1_0.001_0.9999999999-4,BB84,100,0.1,0.001,0.9999999999,326,true,26,0.11538461538461539,0,0.038461538461538464
BB84_100_0.1_0.001_0.999999999-0,BB84,100,0.1,0.001,0.999999999,356,false,None,0,0.04,None
BB84_100_0.1_0.001_0.999999999-1,BB84,100,0.1,0.001,0.999999999,139,false,None,0,0.045454545454545456,None
BB84_100_0.1_0.001_0.999999999-2,BB84,100,0.1,0.001,0.999999999,138,true,32,0.03125,0,0
BB84_100_0.1_0.001_0.999999999-3,BB84,100,0.1,0.001,0.999999999,190,true,27,0.07407407407407407,0.037037037037037035,0.037037037037037035
BB84_100_0.1_0.001_0.999999999-4,BB84,100,0.1,0.001,0.999999999,138,true,26,0.07692307692307693,0,0.038461538461538464
BB84_100_0.1_0.01_0.9999999999-0,BB84,100,0.1,0.01,0.9999999999,134,true,25,0,0.08,0
BB84_100_0.1_0.01_0.9999999999-1,BB84,100,0.1,0.01,0.9999999999,137,true,28,0,0.037037037037037035,0.07142857142857142
BB84_100_0.1_0.01_0.9999999999-2,BB84,100,0.1,0.01,0.9999999999,134,true,29,0.034482758620689655,0,0
BB84_100_0.1_0.01_0.9999999999-3,BB84,100,0.1,0.01,0.9999999999,139,true,30,0.1,0.06896551724137931,0
BB84_100_0.1_0.01_0.9999999999-4,BB84,100,0.1,0.01,0.9999999999,136,true,32,0.09375,0,0
BB84_100_0.1_0.01_0.999999999-0,BB84,100,0.1,0.01,0.999999999,130,true,23,0,0,0.043478260869565216
BB84_100_0.1_0.01_0.999999999-1,BB84,100,0.1,0.01,0.999999999,139,true,26,0.038461538461538464,0.08,0
BB84_100_0.1_0.01_0.999999999-2,BB84,100,0.1,0.01,0.999999999,151,true,29,0,0,0.034482758620689655
BB84_100_0.1_0.01_0.999999999-3,BB84,100,0.1,0.01,0.999999999,133,true,23,0.043478260869565216,0,0
BB84_100_0.1_0.01_0.999999999-4,BB84,100,0.1,0.01,0.999999999,138,true,29,0.06896551724137931,0.03571428571428571,0.06896551724137931
BB84_1000_0.001_0_0.9999999999-0,BB84,1000,0.001,0,0.9999999999,1464,true,239,0,0,0.0041841004184100415
BB84_1000_0.001_0_0.9999999999-1,BB84,1000,0.001,0,0.9999999999,1284,true,245,0,0,0
BB84_1000_0.001_0_0.9999999999-2,BB84,1000,0.001,0,0.9999999999,2445,true,254,0,0,0
BB84_1000_0.001_0_0.9999999999-3,BB84,1000,0.001,0,0.9999999999,1295,true,250,0,0,0
BB84_1000_0.001_0_0.9999999999-4,BB84,1000,0.001,0,0.9999999999,1541,true,247,0,0,0
BB84_1000_0.001_0_0.999999999-0,BB84,1000,0.001,0,0.999999999,1701,true,255,0.00392156862745098,0,0
BB84_1000_0.001_0_0.999999999-1,BB84,1000,0.001,0,0.999999999,1347,true,249,0,0,0
BB84_1000_0.001_0_0.999999999-2,BB84,1000,0.001,0,0.999999999,1294,true,247,0,0,0
BB84_1000_0.001_0_0.999999999-3,BB84,1000,0.001,0,0.999999999,1301,true,262,0,0,0
BB84_1000_0.001_0_0.999999999-4,BB84,1000,0.001,0,0.999999999,1310,true,254,0,0,0.003937007874015748
BB84_1000_0.001_0.001_0.9999999999-0,BB84,1000,0.001,0.001,0.9999999999,1298,true,251,0,0,0
BB84_1000_0.001_0.001_0.9999999999-1,BB84,1000,0.001,0.001,0.9999999999,1291,true,254,0,0,0
BB84_1000_0.001_0.001_0.9999999999-2,BB84,1000,0.001,0.001,0.9999999999,1301,true,249,0.004016064257028112,0,0
BB84_1000_0.001_0.001_0.9999999999-3,BB84,1000,0.001,0.001,0.9999999999,1393,true,246,0,0,0
BB84_1000_0.001_0.001_0.9999999999-4,BB84,1000,0.001,0.001,0.9999999999,2031,true,249,0,0,0
BB84_1000_0.001_0.001_0.999999999-0,BB84,1000,0.001,0.001,0.999999999,1438,true,250,0,0,0
BB84_1000_0.001_0.001_0.999999999-1,BB84,1000,0.001,0.001,0.999999999,1332,true,250,0.004,0,0
BB84_1000_0.001_0.001_0.999999999-2,BB84,1000,0.001,0.001,0.999999999,3498,true,249,0,0,0
BB84_1000_0.001_0.001_0.999999999-3,BB84,1000,0.001,0.001,0.999999999,1343,true,242,0,0,0
BB84_1000_0.001_0.001_0.999999999-4,BB84,1000,0.001,0.001,0.999999999,1307,true,257,0,0,0
BB84_1000_0.001_0.01_0.9999999999-0,BB84,1000,0.001,0.01,0.9999999999,1312,true,261,0,0.007692307692307693,0.007662835249042145
BB84_1000_0.001_0.01_0.9999999999-1,BB84,1000,0.001,0.01,0.9999999999,1326,true,249,0,0.012096774193548387,0.004016064257028112
BB84_1000_0.001_0.01_0.9999999999-2,BB84,1000,0.001,0.01,0.9999999999,1297,true,253,0,0.003968253968253968,0
BB84_1000_0.001_0.01_0.9999999999-3,BB84,1000,0.001,0.01,0.9999999999,1305,true,239,0,0.008368200836820083,0.0041841004184100415
BB84_1000_0.001_0.01_0.9999999999-4,BB84,1000,0.001,0.01,0.9999999999,1313,true,240,0,0.008368200836820083,0.0125
BB84_1000_0.001_0.01_0.999999999-0,BB84,1000,0.001,0.01,0.999999999,1321,true,257,0,0,0.0038910505836575876
BB84_1000_0.001_0.01_0.999999999-1,BB84,1000,0.001,0.01,0.999999999,1324,true,251,0,0.004,0.00398406374501992
BB84_1000_0.001_0.01_0.999999999-2,BB84,1000,0.001,0.01,0.999999999,1352,true,245,0,0.004098360655737705,0.004081632653061225
BB84_1000_0.001_0.01_0.999999999-3,BB84,1000,0.001,0.01,0.999999999,1349,true,247,0,0.0040650406504065045,0
BB84_1000_0.001_0.01_0.999999999-4,BB84,1000,0.001,0.01,0.999999999,1314,true,234,0,0,0.021367521367521368
BB84_1000_0.01_0_0.9999999999-0,BB84,1000,0.01,0,0.9999999999,1320,true,250,0.004,0,0
BB84_1000_0.01_0_0.9999999999-1,BB84,1000,0.01,0,0.9999999999,1299,true,238,0.004201680672268907,0,0.004201680672268907
BB84_1000_0.01_0_0.9999999999-2,BB84,1000,0.01,0,0.9999999999,1291,false,None,0,0.003787878787878788,None
BB84_1000_0.01_0_0.9999999999-3,BB84,1000,0.01,0,0.9999999999,1345,true,257,0.0038910505836575876,0,0.0038910505836575876
BB84_1000_0.01_0_0.9999999999-4,BB84,1000,0.01,0,0.9999999999,1358,true,244,0.00819672131147541,0,0.004098360655737705
BB84_1000_0.01_0_0.999999999-0,BB84,1000,0.01,0,0.999999999,1278,false,None,0,0.004,None
BB84_1000_0.01_0_0.999999999-1,BB84,1000,0.01,0,0.999999999,1336,true,252,0,0,0.007936507936507936
BB84_1000_0.01_0_0.999999999-2,BB84,1000,0.01,0,0.999999999,1283,false,None,0,0.00823045267489712,None
BB84_1000_0.01_0_0.999999999-3,BB84,1000,0.01,0,0.999999999,1302,false,None,0,0.004098360655737705,None
BB84_1000_0.01_0_0.999999999-4,BB84,1000,0.01,0,0.999999999,1296,false,None,0,0.0037174721189591076,None
BB84_1000_0.01_0.001_0.9999999999-0,BB84,1000,0.01,0.001,0.9999999999,1378,true,248,0.008064516129032258,0,0.004032258064516129
BB84_1000_0.01_0.001_0.9999999999-1,BB84,1000,0.01,0.001,0.9999999999,1295,true,253,0.003952569169960474,0.003952569169960474,0
BB84_1000_0.01_0.001_0.9999999999-2,BB84,1000,0.01,0.001,0.9999999999,1357,true,239,0.008368200836820083,0.004201680672268907,0
BB84_1000_0.01_0.001_0.9999999999-3,BB84,1000,0.01,0.001,0.9999999999,1316,true,239,0.012552301255230125,0.004201680672268907,0
BB84_1000_0.01_0.001_0.9999999999-4,BB84,1000,0.01,0.001,0.9999999999,1308,true,255,0.00784313725490196,0,0
BB84_1000_0.01_0.001_0.999999999-0,BB84,1000,0.01,0.001,0.999999999,1311,true,242,0.004132231404958678,0.004149377593360996,0
BB84_1000_0.01_0.001_0.999999999-1,BB84,1000,0.01,0.001,0.999999999,1323,true,256,0.00390625,0,0.0078125
BB84_1000_0.01_0.001_0.999999999-2,BB84,1000,0.01,0.001,0.999999999,1307,true,239,0.0041841004184100415,0,0
BB84_1000_0.01_0.001_0.999999999-3,BB84,1000,0.01,0.001,0.999999999,1304,true,238,0.004201680672268907,0,0.004201680672268907
BB84_1000_0.01_0.001_0.999999999-4,BB84,1000,0.01,0.001,0.999999999,1414,true,248,0,0.008064516129032258,0
BB84_1000_0.01_0.01_0.9999999999-0,BB84,1000,0.01,0.01,0.9999999999,1320,true,245,0.004081632653061225,0,0.004081632653061225
BB84_1000_0.01_0.01_0.9999999999-1,BB84,1000,0.01,0.01,0.9999999999,1311,true,237,0.02109704641350211,0.012711864406779662,0.012658227848101266
BB84_1000_0.01_0.01_0.9999999999-2,BB84,1000,0.01,0.01,0.9999999999,1330,true,244,0.012295081967213115,0.00819672131147541,0.004098360655737705
BB84_1000_0.01_0.01_0.9999999999-3,BB84,1000,0.01,0.01,0.9999999999,1300,true,238,0.008403361344537815,0,0.004201680672268907
BB84_1000_0.01_0.01_0.9999999999-4,BB84,1000,0.01,0.01,0.9999999999,1307,true,258,0.007751937984496124,0.023346303501945526,0.007751937984496124
BB84_1000_0.01_0.01_0.999999999-0,BB84,1000,0.01,0.01,0.999999999,1311,true,249,0.004016064257028112,0.004032258064516129,0
BB84_1000_0.01_0.01_0.999999999-1,BB84,1000,0.01,0.01,0.999999999,1300,true,254,0,0.003952569169960474,0.015748031496062992
BB84_1000_0.01_0.01_0.999999999-2,BB84,1000,0.01,0.01,0.999999999,1344,true,251,0.01593625498007968,0.004,0.00398406374501992
